Sik-K	GS.EI1.S.IH5.GS.AI1.K.EI4.K.EI4.Y.I2
盧廣仲	RU.U2.GU.AG3.ZHU.OG4
大壯	D.A4.ZHU.AG4
劉思涵	LI.OU2.S.IH1.H.AN2
庾澄慶	YU.YU2.CH.EG2.QI.IN4
Rag'n'Bone Man	RU.EI1.G.EN1.F.OU1.M.EI3
Vance Joy	W.EN2.S.JI.OU4.Y.I3
艾瑪·史東	GS.AI4.M.A3.SH.IH2.DU.OG1
AMIT	GS.A1.M.EI4.T.ER5
Noah Cyrus	N.OU1.GS.A3.S.AI1.L.A3.S.IH5
Soyou	S.OU1.Y.OU2
Martin Solveig	M.AG2.PI.IG2.SH.OU1.M.EI4.Y.IN3
Elle King	GS.EI2.L.OU5.K.Y.IN4
Zion.T	R.AN2.Y.AO1.TI.I4
西野加奈	XI.I1.Y.IE3.JI.A1.N.AI4
Bazzi	B.A1.XI.I3
Miley Cyrus	M.AI4.LI.I4.S.AI1.R.E5.S.IH5
楊乃文	Y.AG2.N.AI3.W.EN2
飛兒樂團	F.EI1.GS.ER2.YU.IE4.TU.AN2
Cardi B	G.AO1.DI.I1.BI.I4
Mike Perry	M.AI2.K.E5.P.EI2.R.I3
Little Mix	LI.I2.D.OU1.MI.IN3
The Weeknd	R.EN2.W.I1.QI.AN4.D.E5
青山黛瑪	QI.IG1.SH.AN1.D.AI4.M.A3
SEVENTEEN	S.A4.F.EN1.QI.IG4
周傳雄	ZH.OU1.CHU.AN2.XI.OG2
孫盛希	SU.UN1.SH.EG4.XI.I1
G-DRAGON	JI.I1.ZHU.EI1.G.EN3
Eddy Kim	GS.AI1.DI.I4.TI.IN3
Troye Sivan	ZHU.O2.Y.A3.S.I1.M.EN3
朴載範	P.U3.Z.AI4.F.AN4
傅又宣	F.U4.Y.OU4.XU.AN1
林宥嘉	LI.IN2.Y.OU4.JI.A1
陳小春	CH.EN2.XI.AO3.CHU.UN1
陳珊妮	CH.EN2.SH.AN1.NI.I2
Sia	S.I4.Y.A5
韋禮安	W.EI2.LI.I3.GS.AN1
胡夏	HU.U2.XI.A4
Shakira	XI.A4.K.E5.Y.AO1.R.A3
Zara Larsson	S.A1.RU.A3.L.A1.SH.EG1
Jess Glynne	JI.IE2.S.G.IN4
汪蘇瀧	W.AG1.SU.U1.LU.OG2
NEIKED	N.EI4.K.T.ER5
江美琪	JI.AG1.M.EI3.QI.I2
Dragon Pig	ZHU.EI1.G.EN1.PI.I4.G.E5
南拳媽媽	N.AN2.QU.AN2.M.A1.M.A5
SAM KIM	S.AN4.MU.U5.K.I4.M
Lorde	LU.O2.D.EI3
Loren Allred	LU.O1.R.EN3.GS.OU3.RU.A4.T
伍佰 & China Blue	W.U2.B.AI3.CH.AI1.N.A5.BU.U2.LU.U4
Under Lover	GS.AG1.D.ER3.L.A1.F.ER3
X Ambassadors	GS.AI4.K.E5.S.IH5.GS.AI1.BI.EI1.S.AN4.D.ER3
Carly Rae Jepsen	K.A1.LI.I4.RU.EI3.JI.IE1.P.S.EN3
宋冬野	SU.OG4.DU.OG1.Y.IE3
魏如昀	W.EI4.RU.U2.YU.IN2
Rae Sremmurd	RU.EI4.SU.EI1.M.ER3
Rita Ora	R.IH4.T.A3.GS.OU4.R.GS.A3
Disclosure	DI.I4.S.IH5.K.OU1.XU.IE3.GS.ER3
阿肆	GS.A1.S.IH4
謝震廷	XI.IE4.ZH.EN4.TI.IG2
Leo王	LI.I3.Y.OU3.W.AG2
雷恩·葛斯林	W.EI2.GS.EN1.G.E4.SH.IH1.LI.IG2
Sigrid	XI.I1.GU.EI3.T
Eminem	GS.EI1.M.EN3.N.EG2
戴愛玲	D.AI4.GS.AI4.LI.IG2
Iggy Azalea	LI.I3.K.I1.GS.A1.SH.IH2.GS.ER4.DI.I3.Y.A3
許美靜	XU.YU2.M.EI3.JI.IG4
弦子	XI.AN2.Z.IH3
INDIIA	Y.IN1.DI.I3.Y.A3
CHEN	CH.EN2
Tove Lo	T.OU1.F.U5.L.OU5
紅	HU.OG2
EXO-K	GS.EI2.K.E5.S.OU4.K.EI4
閻奕格	Y.AN2.Y.I4.G.E2
Zedd	L.EI4.D.E5
BLOCK B	BU.O2.LU.O4.K.E5.BI.I4
Loote	L.OU4.T.ER5
Bishop Briggs	Y.I2.SHU.A1.BU.U4.Y.I3.P.E5
Epik High	GS.EI1.PI.I1.K.AI4
李玖哲	LI.I2.JI.OU3.ZH.E2
Marshmello	M.A1.SH.N.A1.L.OU3
Khalid	K.I1.GS.ER4.DI.I3.D.E5
Harry Styles	H.A1.R.I1.S.IH5.T.AI4.GS.OU3.S
Niall Horan	NI.I2.GS.OU3.H.OU4.R.EN3
Radiohead	RU.EI1.DI.I3.Y.OU1.TI.IE4.D.E5
李佳薇	LI.I3.JI.A1.W.EI1
Kelly Clarkson	K.EI1.LI.I3.K.E5.L.A1.K.E5.S.EN3
Beyoncé	Y.I2.Y.AG1.SH.EI3
李權哲	LI.I3.QU.AN2.ZH.E2
王俊琪	W.AG2.JU.IN4.QI.I2
Macklemore	M.EI2.K.E1.L.EI1.M.EG3
MP魔幻力量	GS.EN1.PI.I4.M.O2.HU.AN4.LI.I4.LI.AG4
梁文音	LI.AG2.W.EN2.Y.IN1
蛋堡	D.AN4.B.AO3
Kesha	K.IE1.SH.A3
呂薔Amuyi	LYU.YU3.QI.AG2.GS.A1.M.E5.Y.I3
Daft Punk	D.A2.BU.U4.P.AG4.K.E5
Luis Fonsi	LU.U4.Y.I5.S.IH5.F.EG1.SH.EI3
Hozier	H.OU2.Z.I4.ER3
Matzka	M.A2.Z.IH5.K.A3
Miike Snow	M.AI1.K.E5.S.IH3.N.OU4
Colbie Caillat	K.OU1.BI.I4.K.E3.L.EI4
楊凱琳	Y.AG2.K.AI3.LI.IG2
SG Wannabe	GS.EI1.S.IH5.JU.YU2.W.AG2.N.A4.BI.I1
李遐怡	LI.I3.XI.A2.Y.I2
Usher	GS.A1.XU.IE3
Black Atlass	P.U2.L.EI1.K.E5.GS.AI1.P.L.A3.S.IH5
Kylie Minogue	K.AI1.LI.I3.MI.I3.N.OU4.G.E5
Knock	N.A4.K.E5
The xx	NI.I1.XI.IE3.GS.EI2.K.E5.S.IH5.GS.EI4.K.E5.S.IH5
動力火車	DU.OG4.LI.I4.HU.O3.CH.E1
楊洋	Y.AG2.Y.AG2
The Script	R.E4.S.IH5.GU.EI4.P.E5
Lyn	L.AI4.GS.EN3
張雨生	JI.AG1.YU.YU3.SH.EG1
戴佩妮	D.AI4.P.EI4.NI.I2
Lukas Graham	LU.U4.K.E5.S.GU.UN1.H.AN3.MU.U5
ONE OK ROCK	W.AN3.GS.OU1.K.EI4.RU.A4.K.E5
Logic	L.OU3.JI.I3.K
王嘉爾	W.AG2.JI.A1.GS.ER3
Kiana Ledé	PI.I4.Y.A1.N.A3.L.E5.D.EI4
鋼琴心情	G.AG1.QI.IN2.XI.IN1.QI.IG2
獅子合唱團	SH.IH1.Z.IH5.H.E2.CH.AG4.TU.AN2
Nicki Minaj	NI.I1.K.I3.MI.I3.N.A4.JU.YU3
Rich Brian	RU.EI2.QU.YU5.BU.AI1.GS.EN3
BTOB	Y.I1.QI.I1.GS.OU1.BI.I4
Nick Jonas	NI.I2.K.E5.JI.OU4.N.A3.S.IH5
Hardwell	HU.A2.D.E5.W.EI4.GS.OU4
PSY	S.AI4
MONSTA X	M.A1.S.IH5.D.A1.D.A4.XI.IE3.GS.AI4.K.E5.S
Halsey	H.A1.GS.AO1.XI.I3
Flo Rida	F.U2.LU.O1.R.I4.D.A3
The Fray	D.E5.F.RU.EI4
twenty one pilots	QU.AN1.TI.I3.W.AN4.P.AI1.L.E5.C.IH5
R. City	GS.A3.GS.ER2.S.I1.TI.I3
Sabrina Claudio	S.A3.BI.IN1.N.A3.K.LU.O1.DI.I3.GS.OU3
BEN	BI.AN4
Fall Out Boy	F.OU1.GS.AO4.BU.O4.Y.IG3
Gummy	G.A1.MI.I3
鄭恩地	ZH.EG4.GS.EN1.DI.I4
阿杜	GS.A1.DU.U4
Céline Dion	S.E3.LI.IN1.DI.I3.GS.OG4
陳勢安	CH.EN2.SH.IH4.GS.AN1
Wiz Khalifa	W.EI1.S.IH5.K.A1.L.E3.F.ER3
Woo Won Jae	W.U4.W.AN4.ZH.EI1
The Bellas	N.A4.BI.EI1.L.A3.S
Tizzy Bac	TI.I2.XI.I1.BI.EI3.K.E5
CHVRCHES	XI.I1.F.U5.QU.YU3.S.IH3
Emeli Sandé	GS.AI2.M.E5.LI.I4.S.AN1.D.EI3
Migos	MI.I3.G.OU3.S
MC HotDog	GS.EI4.M.XI.I1.H.A1.DU.O4.K.E5
秀智	XI.OU4.ZH.IH4
TFBOYS	PI.I4.GS.EI2.F.U5.BU.O4.Y.I3.S
ZAYN	SH.EN1.Y.IN4
Urban Zakapa	GS.ER2.B.EN3.S.AI1.K.E5.P.A4
孫子涵	SU.UN1.Z.IH3.H.AN2
曾之喬	Z.EG1.ZH.IH1.QI.AO2
Erika	GS.EI1.R.I3.K.A3
The Lumineers	D.E5.LU.U4.MI.IN3.D.ER3
Arthur Rubinstein	GS.AO1.S.A1.RU.U1.BI.I3.S.IH5.DI.IG4
J.Fla	ZH.EI1.F.U2.L.A3
黃小琥	HU.AG2.XI.AO2.HU.U3
Idina Menzel	Y.I4.DI.I1.N.A3.MI.AN1.SH.OU3
The Spencer Lee Band	N.E1.S.IH5.D.EI1.S.E1.LI.I3.B.AN3.D.E5
陳芳語	CH.EN2.F.AG1.YU.YU3
張杰	ZH.AG1.JI.IE2
吳宗憲	W.U2.ZU.OG1.XI.AN4
Pharrell Williams	F.EI1.R.E5.W.EI1.LI.IE4.M
Shania Twain	XU.IE2.N.A1.Y.A3.TU.EI4.M
Rudimental	RU.U1.DI.I3.MI.AN1.T.OU3
奇蹟女孩	QI.I2.JI.I1.NYU.YU3.H.AI2
Daniel Powter	DI.AN1.NI.I3.GS.OU3.P.AO1.T.ER3
Fifth Harmony	NI.I1.S.H.A1.BU.U4.LI.I3
The Black Eyed Peas	L.E4.BU.U2.HU.EI4.T.E3.GS.AI2.D.E5.PI.I4.ER3.S
XIA	GS.EI2.K.S.IH5.GS.AI4.GS.EI1
MK	GS.EI1.M.K.EI4
魯向卉	LU.U3.XI.AG4.HU.EI4
里歐娜	LI.I3.GS.OU1.N.A4
Shungudzo	XU.IN1.G.E2.W.U3.Z.OU3
Robin Thicke	L.AO2.BI.IN1.XI.I3.K.EI4
任賢齊	R.EN4.XI.AN2.QI.I2
光良	GU.AG1.LI.AG2
李毓芬	LI.I3.YU.YU4.F.EN1
八三夭	B.A1.S.AN1.Y.AO1
JC	ZH.EI1.XI.I4
方炯鑌	F.AG1.JI.OG3.BI.IN1
Axwell Λ Ingrosso	GS.EI1.S.IH5.W.EI4.GS.OU3.Y.IN1.G.R.OU4.S.OU4
白娥娟	B.AI2.GS.E2.JU.AN1
Diplo	DI.IE1.P.L.E5
李玉剛	LI.I3.YU.YU4.G.AG1
Naughty Boy	N.AO3.TI.I4.BU.O4.Y.IG3
French Montana	F.U2.LI.AN4.QU.YU5.M.EG3.T.A1.N.A3
Christina Perri	KU.EI1.S.IH5.DI.IG4.N.A4.P.EI4.LI.I3
CL	S.I1.GS.EI2.L.OU5
李英宏	LI.I3.Y.IG1.HU.OG2
4Minute	F.ER3.M.EI1.DI.I5.T.ER5
Dagny	DI.IE4.G.EN1.NI.I3
HRVY	H.A1.R.F.I4
Sean Paul	S.I1.GS.EN1.P.OU5
LMFAO	GS.EI2.L.OU5.GS.EI4.M.XI.IE3.GS.EI2.F.U5.GS.EI1.GS.OU3
GD X 太陽	JU.YU2.DI.I1.D.A4.XI.IE3.GS.EI2.K.E5.S.IH5.T.AI4.Y.AG2
Cash Cash	K.IE4.XU.YU3.K.IE4.XU.YU3
Joel Adams	JI.OU1.GS.EI1.D.EG3.S.IH5
MOMOLAND	M.O1.M.O3.L.EI4.M
Hailee Steinfeld	H.AI4.LI.I4.S.IH5.D.EI1.BI.AO3.D.E5
Maggie Lindemann	M.EI1.G.IH3.LI.IN4.M.EN3
藍又時	L.AN2.Y.OU4.SH.IH2
李玟	LI.I3.W.EN2
Martin Jensen	M.A1.TI.IG1.ZH.EN1.S.EN3
蘇運瑩	SU.U1.YU.IN4.Y.IG2
Cheat Codes	QI.I1.T.K.OU3.C.IH5
Pitbull	PI.I1.P.BU.U3
gnash	N.A4.XU.YU3
BEAST	BI.I4.S.IH5.T.E3
Backstreet Boys	BU.U1.GS.AI4.S.ER5.R.I1.BU.O4.Y.I3.S
Tez Cadey	TI.IE1.S.IH5.K.EI1.DI.I3
張棟樑	ZH.AG1.DU.OG4.LI.AG2
VaVa	F.A1.B.A3
Portugal. The Man	P.O1.T.G.OU3.D.E5.MI.AN4
MAX	M.AI4.K.E5.S.IH5
iKON	Y.I3.K.EN3
Galantis	G.E4.LI.AN1.JI.IE3.S.IH5
SHINee	XI.IN1.N.EI4
Jung Joonil	JI.OU1.ZHU.U2.NI.I4.GS.OU3
OH MY GIRL	GS.OU4.M.AI3.G.ER4.GS.OU3
James Hype	JI.AN2.S.IH1.T.AI4.K.E5
校長	XI.AO4.ZH.AG3
JP Cooper	JI.EI1.PI.I1.K.OU1.P.ER3
Bon Jovi	B.AG1.Z.OU1.F.I3
Jorja Smith	JI.OU1.JI.IE3.S.IH5.MI.I4.S.IH5
MØ	M.O4
Martin Garrix	M.A1.TI.IN3.G.A1.RU.EI3.K.S
WALK THE MOON	W.O1.K.E5.D.E5.MU.U4.N
10cm	SH.IH1.LI.I2.MI.I3
Starley	S.IH5.D.A1.LI.IG2
Mabel	M.EI1.BU.OG4
丁世光	DI.IG1.SH.IH4.GU.AG1
Robin Schulz	RU.A1.M.EN5.XI.OU4.CH.IH5
Jason Mraz	ZH.EI1.S.EN1.MU.U3.L.AI4.S
Gwen Stefani	GU.U1.RU.EI1.S.IH5.D.EI1.F.AG1.NI.IG3
JBJ	ZH.EI1.BI.I4.ZH.EI1
六哲	LI.OU4.ZH.E2
林京燁	LI.IN2.JI.IG1.Y.IE4
Aerosmith	GS.EI1.R.OU3.S.IH3.MI.I4.S
王傑	W.AG2.JI.IE2
Eagles	Y.I1.G.OU3.S.IH5
金太佑	JI.IN1.T.AI4.Y.OU4
London Grammar	L.EN1.D.EN3.GU.U1.RU.EI1.M.A5
J. Cole	ZHU.EI1.K.OU3
曼蒂魔兒	M.AN4.DI.I4.M.O2.GS.ER2
M.I.A.	GS.EI1.M.GS.AI4.GS.EI2
宇宙少女	YU.YU3.ZH.OU4.SH.AO4.NYU.YU3
Sleep Baby Sleep	S.IH5.LI.I4.P.E5.BI.EI4.BI.I3.S.IH5.LI.I4.P.E5
麗亞·莎隆加	LI.I4.Y.A3.SH.A1.LU.OG2.JI.A1
洪大光	HU.OG2.D.A4.GU.AG1
夏天	XI.A4.TI.AN1
許巍	XU.YU3.W.EI1
PARTYNEXTDOOR	P.A1.TI.I3.MI.IE1.K.E5.S.IH5.DU.O4.R
Lykke Li	LI.I4.K.E5.LI.I4
Sechs Kies	SHU.EI2.QU.YU5.K.I4.S
Valentina Lisitsa	M.EI2.R.EN4.TI.I4.N.AN2.LI.I4.S.IH5.TI.I1.SH.EI2
Jon Bellion	JI.AG1.BI.AN1.LI.AN3
王雁盟	W.AG2.Y.AN4.M.EG2
讚美之泉	Z.AN4.M.EI3.ZH.IH1.QU.AN2
Ra.D	GS.A2.GS.EI1.DI.I4
Labrinth	L.A1.P.RU.EI4.M.S
卡特伯威	K.A3.T.E4.BU.O2.W.EI1
Daniel Ho	DI.AN1.NI.I3.GS.OU3.H.OU4
Bassjackers	BI.EI1.S.IH3.JI.IE4.K.E3.S.IH5
盧巧音	LU.U2.QI.AO3.Y.IN1
斯坦蒂	S.IH1.T.AN3.DI.I4
Hillsong UNITED	H.I1.W.U1.SU.OG4.YU.YU3.N.AI4.T.E3.D
Sleepaholics	S.IH5.L.EI1.P.A1.H.OU1.L.EI4.K.S
David Archuleta	DI.IE1.LI.I4.GS.A1.CH.IH2.W.U2.L.EI1.T.A3
韓紅	H.AN2.HU.OG2
The Beach Boys	LI.OU2.BI.I1.S.IH5.BU.U4.S
Illenium	Y.I2.L.AN2.NI.I3.GS.EN3
Sam Hunt	SHU.EI2.P.AO4.T.E5
阿爆	GS.A1.B.AO4
Dido	D.AI1.D.OU3
Iron & Wine	GS.AI2.L.E4.GS.EI2.L.E5.W.AI4
欅坂46	JU.YU3.B.AN3.S.IH4.SH.IH2.LI.OU4
Travis	CHU.A4.F.I5.S.IH5
Opetaia Foa'i	GS.OU1.P.EI4.K.EI4.Y.I3.Y.A5.F.O4.GS.AI4.Y.I3
Dok2	D.OU1.TI.I3
龍千玉	LU.OG2.QI.AN1.YU.YU4
Academy of St. Martin in the Fields	GS.E3.K.A1.D.E5.MI.I3.GS.OU4.F.U5.SH.EN4.T.E5.M.A1.TI.IN3.Y.IN3.D.E5.F.I4.W.U4.S
Cécile Corbel	XI.IE1.XI.I1.GS.ER3.KU.O4.BI.EI3.GS.OU5
Machine Gun Kelly	M.E5.XI.IG4.G.AN4.K.EI1.LI.I3
張靚穎	JI.AG1.LI.AG4.Y.IG3
Against The Current	GS.E4.DI.AN2.S.IH5.T.AI4.L.E5.K.E1.R.EN3
B.A.P	BI.I1.GS.EI1.PI.I4
鄭伊健	ZH.EG4.Y.I1.JI.AN4
Jóhann Jóhannsson	JI.OU1.H.A1.JI.OU1.H.AG2.SH.EN3
Sarah Brightman	XI.IE1.RU.A4.P.U2.L.AI4.M.EN3
黃鴻升	HU.AG2.HU.OG2.SH.EG1
楊千嬅	Y.AG2.QI.AN1.HU.A4
張碧晨	ZH.AG1.BI.I4.CH.EG2
SZA	XI.IE4.S.ER3
Florence + The Machine	W.O3.R.EN3.N.AN1.SH.IH2.P.L.A4.S.Y.OU3.M.E5.XU.IN4
謝霆鋒	XI.IE4.TI.IG2.F.EG1
Boyce Avenue	W.O4.Y.I4.S.IH5.GS.EI4.M.EI2.LI.OU3
Ennio Morricone	GS.EI1.R.I1.GS.OU1.M.A2.R.I1.KU.OG3
Martha Argerich	M.A1.F.A3.GS.A1.ZH.ER3.R.I4.QU.YU3
Dimitri Vegas & Like Mike	DI.I1.MI.I3.T.R.I1.W.EI1.G.E5.S.L.AI4.K.M.AI4.K.E5
Twins	TU.EI4.Y.IN5.S.IH5
小球	XI.AO3.QI.OU2
Corinne Bailey Rae	K.OU3.R.Y.IN4.BI.EI1.LI.I3.RU.EI4
Why Don't We	W.AI4.TU.OG5.W.EI4.Y.I4
ATB	GS.EI1.TI.I1.BI.I4
音樂戀曲	Y.IN1.YU.IE4.LI.AN4.QU.YU3
Super Junior-M	SU.U1.P.ER5.ZHU.U1.NI.I3.ER3.GS.EI4.M
Capital Cities	K.EI1.P.EN3.T.OU3.XI.I1.TI.I3.S
SawanoHiroyuki[nZk]	SH.A3.W.AN1.L.OU5.XI.I1.GS.OU4.Y.OU1.TI.I4.GS.EN1.DI.I1.K.EI4
胡立歐	HU.U2.LI.I4.GS.OU1
Queens of the Stone Age	KU.EI4.M.S.IH5.GS.OU4.F.U5.D.E5.S.IH5.DU.OG4.GS.EI4.JU.YU3
王心凌	W.AG2.XI.IN1.LI.IG2
馬丁·夏布洛	M.A3.DI.IG1.XI.A4.BU.U4.LU.U1.GS.ER3
Newborn Sleep Music Lullabies	NI.I3.BU.O4.R.EN3.S.IH5.LI.I4.P.E5.MI.OU1.XI.I3.K.LU.U1.L.A3.BI.I3.S
Dal★Shabet	T.A1.XU.IE3.BI.EI3.T
9MUSES	N.AI4.MI.OU1.XI.AN3.S.IH5
The Neighbourhood	R.E5.N.EI4.B.ER3.H.E4.T
Anna Kendrick	GS.AI2.N.A4.TI.AN1.JU.YU4.T.E5
陳嘉樺	CH.EN2.JI.A1.HU.A4
XXXTENTACION	QU.YU1.P.O4.GS.AI1.K.E5.S.IH5.TI.AN1.M.T.A1.S.I5.GS.EN3
Banks	BI.AN4.K.S
李笛	LI.I3.DI.I2
Maranatha! Music	M.A1.RU.AN1.N.A1.S.A3.MI.OU1.XI.I3.K
CNCO	F.I4.GS.EN1.XI.I4.GS.OU1
Arlissa	GS.ER2.LI.I4.S.A3
永邦	Y.OG3.B.AG1
fromis_9	GU.O1.MI.I4.S.IH5.N.AI4.N.T.ER5
艾瑪·華森	GS.AI4.M.A3.HU.A2.SH.EG1
楊錦聰	Y.AG2.JI.IN3.CU.OG1
James Blake	JI.AN2.S.IH5.BU.U1.RU.EI4.T.ER5
Power Music Workout	P.A1.W.EI3.MI.OU1.XI.I3.K.W.EI1.TI.AO2
Pulp	P.AO4.P
久保田利伸	JI.OU2.B.AO3.TI.AN2.LI.I4.SH.EG1
Poppy Ackroyd	P.A1.PI.I3.IE4.K.E5.L.OU5.JI.I3.D.E5
Rachael Yamagata	RU.EI1.QI.OU2.Y.A1.M.A1.G.A1.T.A3
Gateway Worship	G.EI3.D.E5.W.EI1.W.O3.XU.IE3.D.E5
Pia Mia	PI.I4.Y.A3.MI.I4.GS.A5
Gavin James	G.IE1.F.EN3.ZH.EG4.Y.IG3.S.IH5
DPR LIVE	DI.I1.PI.I4.GS.A2.L.AI4.F
Anderson .Paak	GS.EN1.NI.I3.D.E5.SH.EG1.P.A4.GS.OU3.K.E5
SF9	GS.EI2.S.IH3.GS.EI2.BU.U4.JI.OU3
Duke Dumont	DI.OU1.G.DI.AO1.M.AG2
Bring Me the Horizon	BU.U4.RU.EI1.MI.I4.D.E5.H.AO3.L.A1.Y.AO1.S.EN3
Jennifer Hudson	JI.AN1.NI.I3.F.ER3.H.A1.D.E5.S.EN3
NF	GS.EN1.GS.EI4.F
Babyface	F.EI1.BI.I3.BI.EI4.S
Limp Bizkit	LI.IG1.BI.IE1.S.JI.IE3
LEW	LU.U4
Yuna	YU.YU1.N.A3
陳政文	CH.EG2.ZH.EG4.W.EN2
MIYAVI	MI.I1.Y.A1.F.I3
6LACK	SH.EI2.S.IH5.L.A4.K.E5
Kiesza	K.AI1.S.GS.ER3
Lawson	LU.O4.S.EN3
彭羚	P.EG2.LI.IG2
Spa	S.IH5.B.A4
Tory Lanez	TU.OG3.R.I3.L.EI4.N.E5.S
TheFatRat	Y.OU1.BI.EI1.T.E5.RU.EI4.T.E5
SECRET	XI.I1.KU.EI1.T.E5
St. Vincent	SH.EN4.T.E5.W.EN4.S.EN3.T.E5
金鐘國	JI.IN1.ZHU.OG1.GU.O2
李雲迪	LI.I3.YU.IN2.DI.I2
Kids Party Music Players	K.I4.Z.IH5.P.A1.TI.I3.MI.OU1.XI.I3.K.P.L.EI1.GS.ER3.S
Daniela Andrade	LI.AN2.NI.I3.GS.EI2.L.A1.GS.EN1.ZHU.A3.G.EI3
徐良	XU.YU2.LI.AG2
m-flo	GS.EI4.M.F.U2.L.E4.GS.OU3
白智英	B.AI2.ZH.IH4.Y.IG1
自由發揮	Z.IH4.Y.OU2.F.A1.HU.EI1
Jennifer Lopez	JI.AN1.NI.I3.F.ER3.L.OU1.PI.IE3.S.IH5
Afrojack	GS.AI1.P.L.OU2.JI.IE3.K.E5
Relax α Wave	R.I3.L.A1.K.E5.S.IH5.GS.ER3.W.EI4
Che'Nelle	SH.EN1.N.EI4.GS.OU3
李欣芸	LI.I3.XI.IN1.YU.IN2
張藝興	ZH.AG1.Y.I4.XI.IG1
B.o.B	BI.I1.GS.OU1.BI.I4
The Barden Bellas	Y.OU4.B.A1.D.E5.M.EI4.L.E5.S
Christophe Beck	KU.EI1.S.T.E3.F.I3.BI.IE4.K.E5
羅時豐	LU.O2.SH.IH2.F.EG1
雷光夏	L.EI2.GU.AG1.XI.A4
Lionel Richie	L.AI4.GS.EN3.N.OU3.LI.I1.QI.I3
Louisa Johnson	LU.U1.Y.I3.S.A3.ZHU.OG1.S.EN3
Florida Georgia Line	F.OU1.R.I3.D.E5.ZU.O4.Y.A3.L.AI4.N
Jimmy Chan	JI.I2.MI.I1.QI.AN4
Janine Jansen	JI.AN3.LI.IG4.JI.IE1.S.EN3
大嘴巴	D.A4.ZU.EI3.B.A5
愷樂	K.AI3.L.E4
魯柏葛雷森威廉斯	LU.U3.BU.O2.G.E2.L.EI2.S.EN1.W.EI1.LI.AN2.S.IH1
Nickelback	NI.I1.K.I4.GS.ER4.B.AI3.D.E5
林淑容	LI.IN2.SHU.U2.R.OG2
Enrique Iglesias	GS.A1.LI.I4.KU.EI2.L.EI1.G.E5.RU.EI4.XI.A4.S
Nursery Rhymes and Lullabies	LYU.YU4.XI.IE4.R.I1.B.AI1.M.S.IH5.GS.EI2.D.E5.L.A1.L.E5.B.AI3.S.IH5
Felix Jaehn	F.EI1.L.E3.S.IH5.Y.AN4.Y.IG3
Austin Mahone	GS.O1.S.IH5.T.EN3.M.A1.H.OU4.M
Walk Off the Earth	W.A1.K.E5.GS.OU3.F.I3.GS.ER4.S
Seeb	S.I1.Y.I4.B.E5
那對夫妻	N.A4.DU.EI4.F.U1.QI.I1
George Michael	JI.AO1.JU.YU4.M.AI4.K.OU3
GReeeeN	JI.I1.RU.I3
2PM	TU.U1.PI.I4.Y.IE4.M
Robyn	RU.A1.B.EN3
MONKEY MAJIK	M.AG1.K.I3.M.EI1.JI.I3.K
Russian Red	RU.A1.XU.IE1.RU.EI4.D.E5
王若琳	W.AG2.RU.O4.LI.IG2
Cheeze	QI.I4.S.IH3
李閏珉	MI.I3.RU.UN4.MI.IN2
斯維亞托斯拉夫·里赫特	SH.IH1.W.EI3.Y.A3.TU.U4.S.IH5.L.A1.GU.U1.LI.I3.K.E4.T.E4
林生祥	LI.IN2.SH.EG1.XI.AG2
Slushii	XI.I1.LI.OU1.XI.I3
金誌文	JI.IN1.ZH.IH4.W.EN2
柚子	Y.OU4.Z.IH5
旺褔	W.AG4.F.U2
Glass Animals	G.E1.L.A3.S.IH5.GS.EI1.N.A4.M.E5.W.U3.S.IH5
Seohyun	XI.I1.GS.OU1.PI.I1.Y.OG4
Alanis Morissette	GS.A1.L.A4.NI.I3.S.IH5.M.AO1.LI.I4.S.AI4.T.ER3
Timbaland	TI.I1.M.B.E3.LI.AN3
Triple H	QI.I1.BU.O4.GS.EI2.QU.YU5
Avenged Sevenfold	GS.EN1.BI.EI1.JU.YU2.D.E5.XI.IE4.R.EN4.F.O4.D.E5
脆樂團	CU.EI4.YU.IE4.TU.AN2
Friedrich Gulda	F.EI1.L.E3.R.I3.K.GU.U1.D.A3
Royal Blood	LU.O2.Y.OU1.BU.U4.L.E5.T
Mrs. Green Apple	M.EI1.XI.I5.S.IH5.BU.U1.RU.EI1.GS.A1.BU.OU3
普拉西多·多明哥	P.U2.L.A1.XI.I1.DU.O1.DU.O1.MI.IG2.G.E1
Mischa Maisky	MI.I1.S.IH3.QI.A4.M.A1.S.DI.I3
Family of the Year	GS.EI1.M.EN5.Y.I3.GS.OU1.BU.U2.R.D.E5.Y.I4.ER3
Shiny	SH.AN1.NI.IG3
Jake Bugg	JI.IE4.K.E5.B.A4.K.E5
洪榮宏	HU.OG2.R.OG2.HU.OG2
Jasmine Thompson	JI.A1.S.IH5.NI.I3.Y.I1.T.AG1.BU.U4.SH.EG1
Boyzone	BU.O1.Y.I1.ZU.OG3
Hush!	P.A4.XU.YU3
2AM	K.Y.OU2.GS.EI1.GS.EI4.M
KSHMR	K.EI4.GS.EI2.S.IH5.GS.EI2.QU.YU5.GS.EN1.GS.AI4
黃美珍	HU.AG2.M.EI3.ZH.EN1
Grace VanderWaal	GU.U1.RU.EI1.S.IH5.BU.U4.GS.AN1.D.ER3.BU.U4.GS.OU5
吳若希	W.U2.RU.O4.XI.I1
MIKA	LI.I1.K.A3
小賈姬	XI.AO2.JI.A3.JI.I1
Ty.	T.AI4.N
